sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"CBS1025","C/Board Screw 10x25mm [P/100]",,"R 11.98","2.4","25","28.75","90.4","22.6","5","Yes","Yes"
"CBS1040","C/Board Screw 10x40mm [P/100]",,"R 7.91","1.58","74","85.1","97.86","72.42","5","Yes","Yes"
"CBS1050","C/Board Screw 10x50mm [P/100]",,"R 62.34","34.14","90","103.5","62.07","55.86","11","Yes","Yes"
"Cbt16","CRABTREE PLUGTOP 16A 3PIN RED DEDICATED 1054RD/D",,"R 0.00","0","48","55.2","0","48","50","Yes","Yes"
"Cbt5050","CBT WWMD 050MM STR 50 X 50 3M HDG",,"R 0.00","0","804","924.6","0","804","10","Yes","Yes"
"CC100x50","CBI SWITCH +COVER 100X50 1LEV 1WAY PVC WHITE L120-P",,"R 64.46","10.74","49.2","56.58","78.17","38.46","6","Yes","Yes"
"CC56l","Clear Container With Lid 56L (590 x 415 x 365)",,"R 0.00","0","299","343.85","0","299","5","Yes","Yes"
"CC9095","CORNER CLAMP 90 DEGREE 95 JAW WIDTH X 68MM",,"R 0.00","0","576.05","662.46","0","576.05","10","Yes","Yes"
"CcET15","COPPER CAPILLARY EQUAL TEE CXCXC 15MM",,"R 24.24","6.93","36","41.4","80.75","29.07","7","Yes","Yes"
"CcG","CCG GLAND BW CAP CONE BR Ni + L/N NO 3-M32",,"R 0.00","0","230.73","265.34","0","230.73","10","Yes","Yes"
"CCH33","Core Cutter HSS 33mm FEW STD",,"R 0.00","0","1243","1429.45","0","1243","5","Yes","Yes"
"Cch50","Core Cutter HSS T/S 50mm",,"R 917.55","305.85","1500","1725","79.61","1194.15","3","Yes","Yes"
"CCH60","Core Cutter HSS 60mm FEW L/S",,"R 1,552.52","310.5","5683.3","6535.8","94.54","5372.8","5","Yes","Yes"
"Cchs30","Core Cutter HSS 30mm FEW STD",,"R 0.00","0","981","1128.15","0","981","5","Yes","Yes"
"CCHss16","Core Cutter HSS 16mm FEW L/S",,"R 268.95","44.83","750","862.5","94.02","705.17","6","Yes","Yes"
"CCM20","Capsule chemical m20",,"R 0.00","0","58.37","67.13","0","58.37","4","Yes","Yes"
"CCM640","CSK M6x40",,"R 118.00","39.34","300","345","86.89","260.66","9","Yes","Yes"
"CCP320","A4 Circlip Plier GED E/S 320mm",,"R 434.15","86.83","1020","1173","91.49","933.17","5","Yes","Yes"
"Ccpt","Core Cutter Pilot T/C STD Core",,"R 0.00","0","25","28.75","0","25","2","Yes","Yes"
"CCR8mm","White Cable Clip Round 8mm(per 100)",,"R 9.88","2.47","35","40.25","92.94","32.53","4","Yes","Yes"
"Ccs","CCG SHROUD NO 3 M32 PVC SHORT 152203",,"R 0.00","0","23.27","26.76","0","23.27","5","Yes","Yes"
"CCSC54","COPPERMAN COPCAL SLIP COUPLER 54mm CXC",,"R 0.00","0","107.27","123.36","0","107.27","2","Yes","Yes"
"CCsW","Cable Clip Set WADFLOW 5-10mm 134Piece",,"R 0.00","0","29","33.35","0","29","9","Yes","Yes"
"CCXC15M","Copper CXC Red Coupler 601m 22x15mm",,"R 34.70","0.81","12.1","13.92","93.31","11.29","86","Yes","Yes"
"CCXCRC","Copper CXC Elbow 900 607m 15mm",,"R 39.00","3.39","8.2","9.43","58.66","4.81","92","Yes","Yes"
"CCxcx","Conex Tee CXCXC 15mm",,"R 10.04","15.1","76.05","87.46","80.14","60.95","11","Yes","Yes"
"CD1151","CUTTING DISC INDUSTRIAL METAL 115 X 1.0 X 22.2 MM",,"R 0.00","0","7.25","8.34","0","7.25","120","Yes","Yes"
"CD115125","Cut Disc 115x1mm STL(Per 25)",,"R 0.00","0","187","215.05","0","187","2","Yes","Yes"
"CD2.5","Drill Bit 2.5mm",,"R 0.00","0","18","20.7","0","18","-20","Yes","Yes"
"CD230x19","Cut Disc Rhodius 230x1.9m",,"R 0.00","0","51","58.65","0","51","0","Yes","Yes"
"CD25","CENTRE DRILL 2.5MM TYPE A60D DIN 333",,"R 0.00","0","112.7","129.6","0","112.7","5","Yes","Yes"
"CD315","CENTRE DRILL 3.15MM TYPE A 60D DIN 333",,"R 87.64","35.06","125","143.75","71.95","89.94","5","Yes","Yes"
"CD4mm","CENTRE DRILL 4MM TYPE A60D DIN 333",,"R 156.94","62.78","224","257.6","71.97","161.22","5","Yes","Yes"
"CDI11512","CUTTING DISC INDUSTRIAL METAL 115 x 1.0 x 2",,"R 0.00","0","6.35","7.3","0","6.35","5","Yes","Yes"
"CDIE115","Cut Disc BINIC Eco 115x1mm INOX (Per 10)",,"R 0.00","0","49","56.35","0","49","10","Yes","Yes"
"CDIM23032","CUTTING DISC INDUSTRIAL METAL 230 x 3.0 x 2",,"R 0.00","0","23.66","27.21","0","23.66","-5","Yes","Yes"
"Cdpe","CUTTING DISC STEEL 115 x 1.0 x 2(15+5Free)",,"R 0.00","0","96.66","111.16","0","96.66","10","Yes","Yes"
"CDPFR350","PFERD Cutting Disc 350X3.6X25 EACH",,"R 0.00","0","179.99","206.99","0","179.99","-10","Yes","Yes"
"Cdr32","Core diamond drill 32mm",,"R 0.00","0","176","202.4","0","176","9","Yes","Yes"
"CDSTSS23016","CUTTING DISC STEEL AND SS 230 X 1.6 X 22.22",,"R 17.07","17.07","31.3","35.99","45.46","14.23","5","Yes","Yes"
"CE","Corded Earplugs",,"R 2.69","2.69","3.6","4.14","25.28","0.91","-300","Yes","Yes"
"CECCXC","Conex Elbow CXC 15mm",,"R 0.00","0","69.5","79.93","0","69.5","90","Yes","Yes"
"CECXC1512","Conex Elbow CXC 15x1/2M",,"R 4.29","2.15","40","46","94.63","37.85","20","Yes","Yes"
"CF","Cavity Fixing",,"R 243.00","5.53","450","517.5","98.77","444.47","204","Yes","Yes"
"CFb","CISTERN FITTING BOT/ENTRY CCFF1",,"R 76.68","65.73","560","644","88.26","494.27","7","Yes","Yes"
"CFF","Cam Follower",,"R 0.00","0","700.5","805.57","0","700.5","15","Yes","Yes"
"CG164","Conduit Galvanised 16mmx4m",,"R 0.00","0","278","319.7","0","278","5","Yes","Yes"
"CG20x4","Conduit Galvanised 20mm X 4m",,"R 0.00","0","127.5","146.63","0","127.5","1000","Yes","Yes"
"CGB75","Clamp G Blue HD T/W75mm",,"R 46.23","16.81","90","103.5","81.32","73.19","11","Yes","Yes"
"Cgl","Cadac Gas Lighter",,"R 0.00","0","69","79.35","0","69","-3","Yes","Yes"
"CGM625","M6x25 CSK Cap Galvanised",,"R 50,000.00","787.4","105","120.75","-649.9","-682.4","5.08","Yes","Yes"
"CGR50mm","Swivel+Brake Rubber Castor Grey 50mm",,"R 17.90","16.27","52","59.8","68.71","35.73","22","Yes","Yes"
"CGS7m","Chain Galvanised Standard Link 7mm(Per Meter)",,"R 0.00","0","60","69","0","60","5","Yes","Yes"
"CGSL6","Chain Galvanised Standard Link 6mm(p/m)",,"R 677.50","677.5","59.99","68.99","-1029.35","-617.51","-88","Yes","Yes"
"CH200M","200mm Cabin Hook C/PL(EACH)",,"R 0.00","0","299","343.85","0","299","996","Yes","Yes"
"CH30mm","Cup Hook Round 30mm (Per 100)",,"R 0.00","0","105","120.75","0","105","2","Yes","Yes"
"CHBT","Cobra Hose Bib Tap",,"R 0.00","0","275","316.25","0","275","5","Yes","Yes"
"Chd","Carmen Hairdryer",,"R 0.00","0","370","425.5","0","370","0","Yes","Yes"
"CHR40MM","Round Hook Cup BP(P/100)",,"R 0.00","0","166.54","191.52","0","166.54","9999","Yes","Yes"
"CHRG","Claw Hammer Rubber Grip-All Steel",,"R 0.00","0","130","149.5","0","130","1000","Yes","Yes"
"CI6m","Corrigated Iron 6m",,"R 260.87","1.57","500","575","99.69","498.43","1000","Yes","Yes"
"Cid13","Cordless Impact 20V Drill 13mm",,"R 0.00","0","1499","1723.85","0","1499","3","Yes","Yes"
"CKT20","20V Cordless Drill Kit",,"R 1,779.00","1779","1130","1299.5","-57.43","-649","0","Yes","Yes"
"CL","Counter Leg",,"R 67.00","67","269","309.35","75.09","202","1","Yes","Yes"
"Cl12pp40","PIPE HDPE CLS12 40mm [P/M]",,"R 0.00","0","37.5","43.13","0","37.5","4","Yes","Yes"
"CL30m","30m Chalk Line Plastic Set Stanley",,"R 0.00","0","160.44","184.51","0","160.44","4","Yes","Yes"
"CLM82","Castor & Ladder Mobile Safety 8 wide step 2m Ladder",,"R 0.00","0","6999","8048.85","0","6999","2","Yes","Yes"
"Clo02","Non Ticking Wall Clock",,"R 0.00","0","230","264.5","0","230","-12","Yes","Yes"
"CLR-SLCN","Clear Silicone",,"R 0.00","0","65","74.75","0","65","974","Yes","Yes"
"CM300ml","Chem Mortar Fischr 300ml",,"R 132.80","79.68","178","204.7","55.24","98.32","10","Yes","Yes"
"CM36","CSK Cap M3x6",,"R 34.00","27.2","45","51.75","39.56","17.8","10","Yes","Yes"
"CM4OKG","Concrete Mix 40KG",,"R 55.00","5.5","58","66.7","90.52","52.5","19","Yes","Yes"
"CM625","M6x25 CSK Cap",,"R 70.00","70","222","255.3","68.47","152","6","Yes","Yes"
"CMC","Crocodie Mini Clips",,"R 3.63","0.91","4.83","5.55","81.16","3.92","400","Yes","Yes"
"CML","Cutter Model L-1 Heavy Duty Snap Off",,"R 72.39","0.45","110","126.5","99.59","109.55","972","Yes","Yes"
"CMS300","CHEM MORTAR STRFX 300ML +2 NOZ",,"R 0.00","0","179","205.85","0","179","10","Yes","Yes"
"CN10","CERAMIC NOZZLE NO 10 - WP17/26",,"R 0.00","0","6.13","7.05","0","6.13","5","Yes","Yes"
"CN364","ANM 1.2 CUTTING NOZZLE 3/64",,"R 0.00","0","89.38","102.79","0","89.38","5","Yes","Yes"
"CN4","CERAMIC NOZZLE NO 4 - WP17/26",,"R 0.00","0","6.13","7.05","0","6.13","4","Yes","Yes"
"CN5","CERAMIC NOZZLE NO 5 - WP17/26",,"R 0.00","0","6.13","7.05","0","6.13","5","Yes","Yes"
"CN6","CERAMIC NOZZLE NO 6 - WP17/26",,"R 0.00","0","6.13","7.05","0","6.13","5","Yes","Yes"
"CN7","CERAMIC NOZZLE NO 7- WP17/26",,"R 0.00","0","6.13","7.05","0","6.13","5","Yes","Yes"
"CN8","CERAMIC NOZZLE NO 8 - WP17/26",,"R 0.00","0","6.13","7.05","0","6.13","5","Yes","Yes"
"CO2RFL","37 KG CO2 REFILL",,"R 0.00","0","1650","1897.5","0","1650","96","Yes","Yes"
"COD23S","Combination Spanner 23mm",,"R 0.00","0","163.49","188.01","0","163.49","5","Yes","Yes"
"CODCS27","COMBINATION SPANNER 27mm",,"R 0.00","0","199.44","229.36","0","199.44","5","Yes","Yes"
"CODCS28","COMBINATION SPANNER 28mm",,"R 0.00","0","236.79","272.31","0","236.79","5","Yes","Yes"
"CODCS30","COMBINATION SPANNER 30mm",,"R 0.00","0","245.19","281.97","0","245.19","5","Yes","Yes"
"CODCS32","COMBINATION SPANNER 32mm",,"R 0.00","0","266.14","306.06","0","266.14","5","Yes","Yes"
"Cp100hd","CASTOR PU C/IRON 100mm SWP (HD)",,"R 0.00","0","297","341.55","0","297","6","Yes","Yes"
"Cp830","Clevis Pin 8x30 5/35 ZY",,"R 0.00","0","22.8","26.22","0","22.8","0","Yes","Yes"
"CPKARA","30x45x50mc Clear Plastic Bag (Per 1000)",,"R 0.00","0","1205.36","1386.16","0","1205.36","-5","Yes","Yes"
"CPKDIII","20x30x50mc Clear Plastic Bags (Per 1000)",,"R 0.00","0","553.69","636.74","0","553.69","-5","Yes","Yes"
"CPM 512","M5x12 Cap screw",,"R 25.00","25","120","138","79.17","95","-3.5","Yes","Yes"
"CPM3x25","Cap Screw 3x25",,"R 57.60","9.6","144","165.6","93.33","134.4","6","Yes","Yes"
"CPM412","M4X12 Cap Screw",,"R 0.00","0","97.5","112.12","0","97.5","-4","Yes","Yes"
"CPM8x20","Cap Screws M8x20",,"R 31.00","20.67","208","239.2","90.06","187.33","10","Yes","Yes"
"CPRG200m","Comb Plier 200mm Rugged Grip",,"R 0.00","0","100","115","0","100","1000","Yes","Yes"
"CPS","Circlip Pliers Set 4 piece",,"R 277.20","277.2","332.64","382.54","16.67","55.44","5","Yes","Yes"
"CPSM10X60","Cap Screw M10x60",,"R 0.00","0","0","0","0","0","-0.2","Yes","Yes"
"CPSM6X20","Cap Screw M6 x20",,"R 55.00","0.14","125","143.75","99.89","124.86","990","Yes","Yes"
"CPSSM","CAP SCREWS M6X9 PER 100",,"R 0.00","0","29.15","33.52","0","29.15","-1","Yes","Yes"
"CR","Roller with handle 100mm",,"R 0.00","0","30.59","35.18","0","30.59","20","Yes","Yes"
"CR20047","Cable Tie 200x4.7",,"R 0.00","0","55","63.25","0","55","-100","Yes","Yes"
"CR2032","CR 2032 Battery Lithium",,"R 7.50","6.82","22.5","25.87","69.69","15.68","11","Yes","Yes"
"CRFF","700 mm sq Complete Red Flag",,"R 0.00","0","81.78","94.05","0","81.78","0","Yes","Yes"
"CS0001","Stainless Compression spring 4mm Diax36mm OD x8 TC x70mm FL x ends C&G","Springs","R 31.20","31.2","334.88","385.11","90.68","303.68","-3","Yes","Yes"
"CS1","1KG Caustic Soda",,"R 38.40","9.6","71","81.65","86.48","61.4","8","Yes","Yes"
"Cs1060","C/BOARD SCREW 10 x 60mm [Per 100]",,"R 0.00","0","98","112.7","0","98","8","Yes","Yes"
"Cs1070","C/BOARD SCREW 10 x 70mm [per 100]",,"R 0.00","0","95","109.25","0","95","6","Yes","Yes"
"Cs16120","M16x120 Cap Screw(each)",,"R 0.00","0","26","29.9","0","26","-48","Yes","Yes"
"CS185","Bosch Circular Saw GKS190",,"R 0.00","0","2165","2489.75","0","2165","2","Yes","Yes"
"Cs25","Counter Sink 3FL HSS 25mm (M12) 90' FEW",,"R 0.00","0","1055","1213.25","0","1055","1","Yes","Yes"
"Cs280il","Clear Silicone 280ml (Box of 24)",,"R 739.20","370.23","1130","1299.5","67.24","759.77","7","Yes","Yes"
"CS280ML","Clear Silicone DIY 280ml",,"R 25.84","0.01","49.42","56.83","99.98","49.41","100016","Yes","Yes"
"CS316","Counter Sink 3FL HSS 16.5mm (M8) 90' FEW",,"R 0.00","0","600","690","0","600","1","Yes","Yes"
"Cs50mls","Castor Grey RBR 50mm SWV PL",,"R 13.77","8.26","27","31.05","69.41","18.74","20","Yes","Yes"
"CS5kg","Caustic Soda 5KG",,"R 0.00","0","309","355.35","0","309","4","Yes","Yes"
"CSB","Clear Silicone (Box of 24) 270 ml",,"R 0.00","0","1100.89","1266.02","0","1100.89","0","Yes","Yes"
"CSBG","Cup SQR B&N M8x50 Galv",,"R 297.00","297","609.14","700.51","51.24","312.14","0","Yes","Yes"
"CSE15","Stop End Conex CX15mm",,"R 0.00","0","46.99","54.04","0","46.99","-2","Yes","Yes"
"CSE190","Stihl MSE190 Electric Chainsaw",,"R 0.00","0","5216.52","5999","0","5216.52","0","Yes","Yes"
"CSK CP","CSK CAP M4x12",,"R 36.90","0.02","0.93","1.07","97.85","0.91","8405","Yes","Yes"
"CSKM3","CSK CAP M3x6",,"R 17.97","1.6","44.5","51.18","96.4","42.9","502","Yes","Yes"
"CSM20x70","M20x70 CAP Screw",,"R 0.00","0","6606","7596.9","0","6606","2.88","Yes","Yes"
"CSM38","Cap Screw M3x8",,"R 21.97","22.28","120","138","81.43","97.72","42","Yes","Yes"
"Csm4x10","Cap Screw S/S M4x10",,"R 500.00","500","91","104.65","-449.45","-409","1","Yes","Yes"
"CSM4x20","Cap Screw M4x20",,"R 0.00","0","166","190.9","0","166","5","Yes","Yes"
"Csm510","CAP SCREW S/S M5 x 10",,"R 0.00","0","112","128.8","0","112","0","Yes","Yes"
"CSM60","M20x60 12.9 SKT CAP SCREW F/T",,"R 0.00","0","24.75","28.46","0","24.75","0","Yes","Yes"
"CSM670","M6x70 Cap Screw",,"R 0.00","0","5.2","5.98","0","5.2","300","Yes","Yes"
"CSM680","M6x80 Cap Screw",,"R 0.00","0","6.4","7.36","0","6.4","20","Yes","Yes"
"CSM690","M6x90 Cap Screw",,"R 0.00","0","7","8.05","0","7","300","Yes","Yes"
"CSM6x25","Cap Screw M6 x25",,"R 0.00","0","230","264.5","0","230","48","Yes","Yes"
"CSM880","Cap Screw M8x80",,"R 0.00","0","1029","1183.35","0","1029","1.5","Yes","Yes"
"CSMSS120","M10x20 S/S A2 SKT CAP SCREW",,"R 0.00","0","2.1","2.42","0","2.1","0","Yes","Yes"
"CSMSS130","M10x30 S/S A2 SKT CAP SCREW",,"R 0.00","0","2.6","2.99","0","2.6","0","Yes","Yes"
"CSMSS135","M10x35 S/S A2 SKT CAP SCREW",,"R 0.00","0","3.2","3.68","0","3.2","0","Yes","Yes"
"CSMSS140","M10x40 S/S A2 SKT CAP SCREW",,"R 0.00","0","3.1","3.57","0","3.1","0","Yes","Yes"
"CSMSS145","M10x45 S/S A2 SKT CAP SCREW",,"R 0.00","0","3.4","3.91","0","3.4","0","Yes","Yes"
"CSMSS230","M12x30 S/S A2 SKT CAP SCREW",,"R 0.00","0","4.2","4.83","0","4.2","0","Yes","Yes"
"CSMSS235","M12x35 S/S A2 SKT CAP SCREW",,"R 0.00","0","4.6","5.29","0","4.6","0","Yes","Yes"
"CSMSS240","M12x40 S/S A2 SKT CAP SCREW",,"R 0.00","0","4.6","5.29","0","4.6","0","Yes","Yes"
"CSMSS260","M12x60 S/S A2 SKT CAP SCREW",,"R 0.00","0","6.3","7.25","0","6.3","0","Yes","Yes"
"CSMSS620","M6x20 S/S A2 SKT CAP SCREW",,"R 0.00","0","0.6","0.69","0","0.6","0","Yes","Yes"
"CSMSS650","M6x50 S/S A2 SKT CAP SCREW",,"R 0.00","0","1.3","1.5","0","1.3","0","Yes","Yes"
"CSMSS820","M8x20 S/S A2 SKT CAP SCREW",,"R 0.00","0","1.49","1.71","0","1.49","0","Yes","Yes"
"CSMSS825","M8x25 S/S A2 SKT CAP SCREW",,"R 0.00","0","1.54","1.77","0","1.54","0","Yes","Yes"
"CSMSS830","M8x30 S/S A2 SKT CAP SCREW",,"R 0.00","0","1.63","1.87","0","1.63","0","Yes","Yes"
"CSR100m","Blue Castor Swivel Rubber Plate 100mm",,"R 130.26","0.54","120","138","99.55","119.46","10034","Yes","Yes"
"CT","Cistern Toilet",,"R 0.00","0","599","688.85","0","599","3","Yes","Yes"
"CT148x3","Cable Tie 148 x 3.5 Natural",,"R 0.00","0","69","79.35","0","69","200","Yes","Yes"
"CT155","Copper Tube 15mm x 5.5m",,"R 0.00","0","455","523.25","0","455","9","Yes","Yes"
"CT24mm","Double Sided Carpet Tape 24mmx25m",,"R 0.00","0","57.8","66.47","0","57.8","-24","Yes","Yes"
"CT38","CUTTING TORCH STD - 3/8",,"R 0.00","0","737.5","848.12","0","737.5","5","Yes","Yes"
"CT3C","Black 3Core Cabtyre 2.5 (P/M)",,"R 38.90","1.82","32","36.8","94.31","30.18","735","Yes","Yes"
"CT54D","COPPER TUBE 54x5.5m 460/1 DOMESTIC",,"R 0.00","0","6109.26","7025.65","0","6109.26","2","Yes","Yes"
"CTB50x40","Cobra Trap Bottle 50x40 PVC Out 40mm",,"R 0.00","0","698","802.7","0","698","0","Yes","Yes"
"CTDS","Carpet Tape Double Sided Tape 48mm x 25m",,"R 53.05","53.05","120","138","55.79","66.95","-29","Yes","Yes"
"CTP40X40","Cobra Trap Bottle 40x40 360 CP",,"R 0.00","0","496.98","571.53","0","496.98","9996","Yes","Yes"
"CTP48","Clear Tape 48 MM (24 in a box)",,"R 0.00","0","570.24","655.78","0","570.24","-3","Yes","Yes"
"CTT198","Cable Tie Ties 198MMx4,7MM 100 Black",,"R 34.75","0.02","85","97.75","99.98","84.98","9935","Yes","Yes"
"CTTNWST","Cotton Waste 25kg",,"R 398.75","32.02","530","609.5","93.96","497.98","974","Yes","Yes"
"CTU150","Cable Ties 304x4,7",,"R 0.00","0","130.43","150","0","130.43","0","Yes","Yes"
"CWECXF","Conex Wallplate Elbow CXF 15mm",,"R 0.00","0","115","132.25","0","115","99","Yes","Yes"
"Cwlw85","Clear Container with lid and wheels 85L (700 x 450 x 420)",,"R 0.00","0","468","538.2","0","468","5","Yes","Yes"
"CWR6M","6MM Clamp Wire Rope H/D",,"R 9.39","7.74","10.8","12.42","28.33","3.06","18","Yes","Yes"
"CYBPVC40mm","Cobra Trap Bottle PVC/chrome 40 x 40mm",,"R 0.00","0","689","792.35","0","689","1000","Yes","Yes"
"D377","377 Litre Trolley Bin",,"R 0.00","0","3999","4598.85","0","3999","2","Yes","Yes"
"D65ph","D/END PH2 X PH2 65MM 1/CARD",,"R 20.55","20.55","28.77","33.09","28.57","8.22","10","Yes","Yes"
"DA","Disposable Apron - White / Clear 1070x610mm - 10 micron (100/pack)",,"R 22.50","20.45","330","379.5","93.8","309.55","22","Yes","Yes"
"DA9473ST","3M 9473PC N0220579473 DOUBLE SIDED VHB ISOTAC TAPE - 12MM X 0.25MM X 33M",,"R 607.61","607.61","789.89","908.37","23.08","182.28","-6","Yes","Yes"
"DATR","23 - 3M 583 DOUBLE SIDED TRANSFER SCOTCHWELD BONDING FILM 300MM X 55M",,"R 0.00","0","13825","15898.75","0","13825","0","Yes","Yes"
"DB42","Drill Bit 4,2",,"R 75.92","1.98","19","21.85","89.58","17.02","72","Yes","Yes"
"DB4x2","Drill Bit 4.2",,"R 10.99","0.22","19","21.85","98.84","18.78","1000","Yes","Yes"
"DB6M","Drill Bit 6.0mm",,"R 4.69","4.69","36.2","41.63","87.04","31.51","2","Yes","Yes"
"DBHS10","DRILL BUSH HEADED SHORT 10MM",,"R 74.80","64.34","89.76","103.22","28.32","25.42","90","Yes","Yes"
"Dblh","Dustpan And Brush Long Handle",,"R 167.28","167.28","440","506","61.98","272.72","5","Yes","Yes"
"DBm12il","Drill Bit M12 19.5m",,"R 0.00","0","780.2","897.23","0","780.2","5","Yes","Yes"
"DBM900G","Mallet Dead Blow 2LB 900G",,"R 97.80","97.8","110.16","126.68","11.22","12.36","9","Yes","Yes"
"DBS1013mm","DRILL BIT SET STEEL HSS 1.0-13mm 25PCS",,"R 150.48","46.22","548.57","630.86","91.57","502.35","8","Yes","Yes"
"DBS5","DRILL BIT HSS STANDARD 5.0MM 1/CARD",,"R 0.00","0","10.68","12.28","0","10.68","5","Yes","Yes"
"DBSds88028","DRILL BOSCH SDS+ 3MODE 880W 28mm",,"R 0.00","0","4550","5232.5","0","4550","5","Yes","Yes"
"DC5","Drain Cleaner 5 Litre",,"R 0.00","0","255","293.25","0","255","4","Yes","Yes"
"DCA6M","Drill Concrete ALP 6mm",,"R 0.00","0","76","87.4","0","76","-8","Yes","Yes"
"DCA8M","Drill Concrete ALP 8MM",,"R 0.00","0","92.5","106.37","0","92.5","3","Yes","Yes"
"DCBS115","Diamond cutting blades Segmented 115mmx22.23",,"R 0.00","0","43.8","50.37","0","43.8","100000","Yes","Yes"
"DCBS230","Diamond cutting blades Segmented 230mmx22.23",,"R 0.00","0","204.3","234.95","0","204.3","100000","Yes","Yes"
"DCBTC","Diamond cutting blades Tile cutting 115mmx22.23",,"R 0.00","0","45.48","52.3","0","45.48","100000","Yes","Yes"
"Dccb22ah","DRILL C/L BOS GSB183-LI 2x2AH",,"R 0.00","0","2560","2944","0","2560","10","Yes","Yes"
"DCL1Lt","Drain Cleaner Liquid 1Litre",,"R 30.93","30.93","55","0","43.76","24.07","5","Yes","Yes"
"Dcm14","Door Closer Dorma TS68 (1.4 Max)",,"R 0.00","0","1135","1305.25","0","1135","3","Yes","Yes"
"DCMEH","Duster Chenille Microfibre Extendable Handle",,"R 0.00","0","133","152.95","0","133","10","Yes","Yes"
"DCSD4065kg","Door Closer with Stopping Device 40-65Kg",,"R 0.00","0","549.99","632.49","0","549.99","2","Yes","Yes"
"DCXST","Straight Adapt Conex CXM 15x1/2m",,"R 0.00","0","61.63","70.87","0","61.63","-2","Yes","Yes"
"DD25l","DRUM DEPOSIT 25L REFUNDABLE",,"R 60.00","15","45","51.75","66.67","30","4","Yes","Yes"
"DDT12m","Dispenser Desk Tape 12mm",,"R 32.39","31.29","72.45","83.32","56.81","41.16","6","Yes","Yes"
"DDV","Delivery",,"R 0.00","0","0","0","0","0","0","Yes","Yes"
"DFG400","DANGER FLAMMABLE GAS 400MMX400MM ABS PLASTIC",,"R 0.00","0","84","96.6","0","84","2","Yes","Yes"
"DGRD","Dedicated Red Plugtop 16A",,"R 0.00","0","38.69","44.49","0","38.69","-20","Yes","Yes"
"Dh13","Drill Jobber FEW BF 13mm",,"R 0.00","0","225","258.75","0","225","5","Yes","Yes"
"DH24m","24mm Drawer Handle",,"R 46.54","46.54","99","113.85","52.99","52.46","20","Yes","Yes"
"DHS421","DRILL BIT HSS STANDARD 4.2MM 1/CARD",,"R 0.00","0","9.22","10.6","0","9.22","5","Yes","Yes"
"DIAM10","Drop In Anchor M10",,"R 363.00","215.01","0","0","0","-215.01","5","Yes","Yes"
"Dj103","Drill Jobber FEW BF 10,3mm",,"R 0.00","0","163","187.45","0","163","10","Yes","Yes"
"DJ25","Drill Jobber Few 2.5mm",,"R 31.10","31.1","16","18.4","-94.38","-15.1","-55","Yes","Yes"
"Dj33","Drill Jobber SOM BF 3,3",,"R 20.22","20.22","13","14.95","-55.54","-7.22","-25","Yes","Yes"
"DJ4.5","Drill Jobber Few BF 4,5MM",,"R 85.41","0.23","22","25.3","98.95","21.77","969","Yes","Yes"
"Dj42","Drill Jobber FEW BF 4,2",,"R 0.00","0","23","26.45","0","23","0","Yes","Yes"
"Dj50","Drill Jobber FEW BF 5.0mm",,"R 106.40","106.4","28.5","32.77","-273.33","-77.9","-42","Yes","Yes"
"Dj62","DRILL Jobber FEW BF 6.2mm",,"R 0.00","0","44","50.6","0","44","2","Yes","Yes"
"DJ65","Drill Jobber Few 6,5mm",,"R 175.28","29.21","47","54.05","37.85","17.79","6","Yes","Yes"
"Dj68","Drill Jobber SOM BF 6.8mm",,"R 16.17","8.09","42","48.3","80.74","33.91","10","Yes","Yes"
"DJ75","Drill Jobber Few 7.5mm",,"R 0.00","0","61.5","70.72","0","61.5","10","Yes","Yes"
"Dj85","Drill Jobber SOM BF 8,5mm",,"R 66.40","47.43","61","70.15","22.25","13.57","7","Yes","Yes"
"Dj95","Drill Jobber FEW BF 9.5",,"R 0.00","0","102","117.3","0","102","0","Yes","Yes"
"DJ96","Drill Jobber FEW BF 9,6mm",,"R 0.00","0","143","164.45","0","143","0","Yes","Yes"
"DJB3,5","Drill Jobber Few BF 3,5MM",,"R 63.06","0.42","18.4","21.16","97.72","17.98","964","Yes","Yes"
"DJB4,0","Drill Jobber Few BF 4,0MM",,"R 71.14","0.07","20.4","23.46","99.66","20.33","9916","Yes","Yes"
"DJB5,0","Drill Jobber Few BF 5,0MM",,"R 20.90","0.02","29","33.35","99.93","28.98","9968","Yes","Yes"
"DJB6","Drill Jobber SOM BF 6 .0MM",,"R 43.50","43.5","23","26.45","-89.13","-20.5","-22","Yes","Yes"
"DJB8","Drill Jobber Som BF 8.0MM",,"R 74.90","74.9","49","56.35","-52.86","-25.9","6","Yes","Yes"
"DJB9","Drill Jobber Few BF 9.0MM",,"R 78.24","68.35","0","0","0","-68.35","10","Yes","Yes"
"DJB9,0","Drill Jobber Few BF 9,0MM",,"R 0.00","0","85","97.75","0","85","9986","Yes","Yes"
"DJF","Drill Jobber Few 10.0 mm",,"R 129.80","126.12","121","139.15","-4.23","-5.12","6","Yes","Yes"
"DJF105","Drill Jobber Few 10.5mm",,"R 109.92","136.73","128","147.2","-6.82","-8.73","6","Yes","Yes"
"DJF11","Drill Jobber Few 11.0mm",,"R 125.36","125.36","145","166.75","13.54","19.64","1","Yes","Yes"
