sep=,
"Code","Description","Category","Last Cost","Avg. Cost","Excl. Price","Incl. Price","GP %","GP Amount","Qty on Hand","Active","Phys."
"17MMLS","17MM Loose Socket",,"R 19.25","19.25","23.1","26.57","16.67","3.85","10","Yes","Yes"
"17mS","17mm Spanner",,"R 0.00","0","31.35","36.05","0","31.35","5","Yes","Yes"
"1800WHG","1800W HEAT GUN",,"R 504.50","22.2","630","724.5","96.48","607.8","1451","Yes","Yes"
"180oc","180mm Olfa Cutter",,"R 0.00","0","52","59.8","0","52","3","Yes","Yes"
"18FD","1.8M Feather Dust",,"R 54.78","54.78","119.99","137.99","54.35","65.21","-2","Yes","Yes"
"18mmCPCVR","18mm Combination Spanner CR-V",,"R 36.80","36.8","42.32","48.67","13.04","5.52","9","Yes","Yes"
"18MMCS","18MM Combination Spanner",,"R 23.09","24.19","29.16","33.53","17.04","4.97","11","Yes","Yes"
"195mm2kg S","195mm/2kg Spade",,"R 0.00","0","160","184","0","160","5","Yes","Yes"
"197","SET HT UNC 1/4x1",,"R 0.00","0","198","227.7","0","198","4.9","Yes","Yes"
"19Ak","19mm Allen keys",,"R 0.00","0","428","492.2","0","428","10","Yes","Yes"
"19kgEC","19kg Empty Cylinder",,"R 0.00","0","1500","1725","0","1500","5","Yes","Yes"
"19mmCPCVR","19mm Combination Spanner CR-V",,"R 39.50","39.5","45.36","52.16","12.92","5.86","9","Yes","Yes"
"19MMCS","19MM Combination Spanner",,"R 24.23","25.38","30.6","35.19","17.06","5.22","11","Yes","Yes"
"19mmCSB","19mm Combination Spanner",,"R 0.00","0","114.15","131.27","0","114.15","5","Yes","Yes"
"19MMLS","19MM Loose Socket",,"R 19.25","19.25","23.1","26.57","16.67","3.85","10","Yes","Yes"
"19mS","19mm Spanner",,"R 0.00","0","38.25","43.99","0","38.25","5","Yes","Yes"
"1bhp","Black Hammerite Paint 1 Litre",,"R 0.00","0","300","345","0","300","4","Yes","Yes"
"1kg008","O.8 mm Mig Wire 1kg",,"R 0.00","0","450","517.5","0","450","0","Yes","Yes"
"1kgHH","1.1KG Hammer Fibreglass Handle",,"R 0.00","0","370.06","425.57","0","370.06","5","Yes","Yes"
"1MFWS","2Tx1M Flat Webbing Sling",,"R 92.00","92","110.4","126.96","16.67","18.4","5","Yes","Yes"
"1mmwr","1mm Steel Wire Rope Aluminum Ferrules (p/100)",,"R 1.21","1.1","111","127.65","99.01","109.9","22","Yes","Yes"
"1mSSR","1 Meter Stainless Steel Ruler",,"R 47.67","28.6","71.51","82.24","60.01","42.91","5","Yes","Yes"
"1QBm","1L Q/D Black Matt",,"R 0.00","0","171","196.65","0","171","8","Yes","Yes"
"1WP","1 Litre Wax Floor Polish suitable for concrete",,"R 160.87","32.17","70","80.5","54.04","37.83","5","Yes","Yes"
"200F2ndC","200mm Flat 2nd Cut",,"R 0.00","0","144.36","166.01","0","144.36","5","Yes","Yes"
"200FB","200mm Flat Bastard",,"R 0.00","0","137.33","157.93","0","137.33","10","Yes","Yes"
"200mAR","200mm Aluminium Ruler",,"R 346.96","115.65","499","573.85","76.82","383.35","3","Yes","Yes"
"200MCP","200MM Combination Plier",,"R 59.40","59.4","71.28","81.97","16.67","11.88","5","Yes","Yes"
"200mFS","200mm Flat Smooth",,"R 0.00","0","153.51","176.54","0","153.51","5","Yes","Yes"
"200mmPS","200mm Prunting Shears",,"R 0.00","0","113.4","130.41","0","113.4","2","Yes","Yes"
"200mnCO","MTS Combination Oilstone 200mm",,"R 0.00","0","60","69","0","60","1","Yes","Yes"
"2022t","20T-22T Trestle",,"R 1,382.39","1382.39","0","0","0","-1382.39","4","Yes","Yes"
"2090CG","20mm Conduit Galvanised Bend 90D",,"R 0.00","0","39","44.85","0","39","5","Yes","Yes"
"20kgTA","Tile Adhensive Bag 20Kg",,"R 0.00","0","69","79.35","0","69","3","Yes","Yes"
